Comment,Rating
"Zero stars….Very rude they act like they are doing you a favor, where is management when you need them! They need to treat woman right as well, Only men seem to be treated better!",1
Zero stars. Rude employees. Even with appointments these people don't act like public servants...just rude af.  Go to new Albany if you have to go. If this...,1
Zero stars. Messed up our vin inspection that was done by Jorge Lopez. A lady on 11 said it was done incorrectly. Came back the next day lady on 12 can't...,1
ZERO stars.  This county's attempt to automate everything is a complete nightmare.  If you try to renew your plates you may stand at a kiosk.  If you have...,1
Zero stars if I could. This is the WORST office to ever go to. TWICE I made appointments online and they were 2 hours behind. The workers are LITERALLY...,1
Zero responsibility for hazardous road repairs.,1
Zero organization. Have to wait in line to pick up tabs ordered online. Would make the process so much faster compared to waiting behind people who go through the whole process of buying tabs in person.,1
"Zero customer service. Every time I've had to go to a SCDMV, I truly dread it. Rather than trying to help customers complete the process employees seem to...",1
"Yuri ROCKS!!! After going to Lake Worth Tax office, and not being able to intelligently have a conversation with the worker, we went to downtown Fort Worth office. Completely different!!! Actually answered our questions, title transferred, and registered auto. Very pleasant visit, and will NOT return to NW courthouse EVER!!",5
"You're probably thinking ""Who gives the BMV 5 stars""???

Well, 5 stars on Yelp does mean ""Woohoo! As good as it gets!"" and this place is.

Lots of seat, but...",5
You're on hold for forever and a day and when you do get someone on the phone they are rude and the least helpful. I went in person and was treated pretty badly as well. The woman didn't want to help me and kept playing on her phone. When I asked her for more information she huffed at me rolled her eyes and gave little information. My husband had to practically pry it from her to get what we needed to know. They didn't help me getting any information on a business when I first opened one. They also won't tell you anything is due until it's way too late and your over charged. If you go in too pay they will not give you any cash back so be sure to bring in what you need to pay or they will take all of it.  I get they are there to take revenue from business's but they could be more helpful and not so shady about everything.,1
"You're homeless ""solution"" is sickening.",1
You're going to have to make an appointment or wait a long time and the person that greets you has no clue how to help you,1
You're going to have to make an appointment or wait a long time and the person that greets you has no clue how to help you,1
You're going to have to make an appointment or wait a long time and the person that greets you has no clue how to help you,1
Your workers in Saint j are rude,1
Your typical SS tag agency.  The lady was very nice.  She made the experience a great one.,5
Your typical DPS. I actually decided to go to the mega center because of the ability to be able to sit inside and that more people are able to assist. What...,4
"Your DMV is fucking shit, I'm stationed in Florida and have been trying to renew my license for over a month, I've called repeatedly, and I mean repeatedly...",1
Your city managers a weirdo,1
Young lady at front door was exceptional. Very friend and personable. She actually smiled which I thought was strange because through all the years dealing with MVD I have never seen one employee smile. Also I was in and out in about 10 minutes. Will definitely go back if I ever need to. Thank you,5
"You'll need all your ducks in a row to get much done here.  Everything must be exactly correct or you'll have to come back once it is.  Check all the rules for your transaction before you show up. Lots of financed vehicles still have liens recorded, so bring your *original* lien release letter. You'll wait an hour here each trip.  Online reservations don't seem to work.  Also, this isn't the tax office so make sure you don't wait for an hour only to find out you're in the wrong place. Take a number upon entry and relax, it's gonna be a while.",3
"You'd never expect such great customer service from a government entity. Maylyn is extremely competent, courteous, timely, proficient. Who gets that lucky when they call? She's a fantastic representative of the entire department of motor vehicle enforcement.",5
You should have the actual phone number for the dmv not the bank,2
"You really wonder why I don’t donate a single cent of my money to anything state related. Because you completely neglect everyone. I don’t see a bill come in for my pay by plate and the next week smack a 21 dollar fee. That’s your donation, enjoy !",1
"You people have no idea what a gem you have here! I live in California, my local DMV is no different from any other DMV here in the state. If you don't make...",5
You never have all the items you need to make changes. It seems like you need to go on a fact finding search prior to your visit as not to waste your time. They should be a little lenient on some things since appointments take 2-3 months to obtain. Maybe call people prior to appointments to ensure they have everything they need. Staff appeared to not have much to do at all.  Smh. #wasteoftime,2
"You need to make an appointment via their website, on Monday evenings as all the available appointments fill up that night.  At this point many DMV appointments are a month out or more.",3
"You need to make an appointment via their website, on Monday evenings as all the available appointments fill up that night.  At this point many DMV appointments are a month out or more.",3
"You nasty customers need to shut up, sit down and have your wallet ready. Just be grateful that we will make you wait all day to take your money. No you...",1
